solver,activation_function,hidden_layers,learning_rate,accuracy,precision,recall,f1_score,fit_time,total_epochs
sgd,logistic,"[64, 19, 4, 79, 99, 76, 19, 69]",0.0711,0.1135,0.01135,0.1,0.0203861697350696,9.9,7
sgd,relu,"[77, 33, 70, 65]",0.0021,0.9677,0.9676612923867752,0.9673159829224606,0.9674246882897991,27.8,38
lbfgs,relu,"[78, 17, 68]",0.0198,0.9619,0.9616371041588982,0.9616256111989449,0.9615973192413918,54.1,100
lbfgs,tanh,[55],0.0802,0.9623,0.9620358759261463,0.9619949076039707,0.9619840415870753,40.2,100
adam,logistic,[53],0.0391,0.9606,0.9607115458430233,0.9602349419617454,0.9603810286311771,7.1,13
sgd,identity,[91],0.0735,0.92,0.9188395516277803,0.9188759006237515,0.9187236281346614,5.3,10
adam,tanh,"[5, 36, 28, 10]",0.0765,0.4159,0.39794727286007564,0.4083651687323836,0.3634328969318215,3.4,7
lbfgs,tanh,"[2, 48]",0.0449,0.6541,0.6376040129624062,0.6499822351940926,0.6376565233976095,19.2,100
sgd,relu,[9],0.0939,0.9363,0.9357430931461836,0.9354116031305478,0.9354263377149097,3.7,15
adam,logistic,"[69, 57]",0.0012,0.9734,0.973332275790869,0.9732216043814249,0.9732562208830455,20.3,29
sgd,logistic,"[83, 24]",0.028,0.9699,0.969849328281595,0.9695541339272973,0.9696792525811269,25.2,43
adam,logistic,[90],0.0761,0.9459,0.9451833774173763,0.9456152502521793,0.9452755216235594,7.4,9
adam,logistic,[17],0.0628,0.9262,0.9253667296565048,0.9253999543362952,0.9251524622858927,2.9,9
adam,relu,"[65, 96]",0.0515,0.9218,0.9218043485671444,0.9212339094217065,0.920940887927479,6.2,8
lbfgs,logistic,"[25, 98, 63, 8]",0.0435,0.1135,0.01135,0.1,0.0203861697350696,3.3,5
sgd,identity,"[17, 20, 62]",0.0997,0.9128,0.9127586586615409,0.9118537013709892,0.9118644756565469,2.6,7
adam,tanh,[48],0.0452,0.9335,0.9337025473605449,0.9331843430107847,0.9330815224542592,4.1,9
sgd,tanh,"[88, 82, 48]",0.0604,0.9795,0.9793098233506463,0.9792419009085183,0.9792407542750805,13.2,17
lbfgs,logistic,[5],0.068,0.8768,0.8751084063698965,0.8752809373769228,0.8748364912077925,11.3,100
lbfgs,relu,[73],0.0318,0.9738,0.9736128552360167,0.9734951941259435,0.9735459263355706,42.8,100
lbfgs,tanh,"[82, 59, 13]",0.0518,0.9716,0.9714161002887594,0.9711850102238687,0.9712809648645455,58.5,100
lbfgs,logistic,"[59, 75]",0.0659,0.9584,0.9578858806297086,0.9579270121912782,0.9578863888018392,54.4,100
adam,relu,"[100, 32, 91, 84, 64, 80, 6, 62]",0.0534,0.1135,0.01135,0.1,0.0203861697350696,12.2,7
sgd,logistic,"[68, 80, 90, 65]",0.0912,0.1135,0.01135,0.1,0.0203861697350696,5.0,5
lbfgs,logistic,"[10, 40]",0.0805,0.9211,0.9198451435246625,0.9197242993989694,0.9196489484653062,19.2,100
