,index,0,1,2,3,4,5,6,7
0,34,True,False,True,32,16,0.2,"[0.0010629012249410152, 0.03273959085345268]","[4.90352385895676e-06, 0.0022098266053944826]"
1,27,True,False,False,32,8,0.2,"[0.0017443416872993112, 0.04194118082523346]","[6.145517545519397e-06, 0.0025119504425674677]"
2,11,False,False,True,32,32,0.2,"[0.0010861122282221913, 0.033095020800828934]","[6.918395683896961e-06, 0.002624765271320939]"
3,35,True,False,True,32,32,0.2,"[0.000956936739385128, 0.031064240261912346]","[8.590936886321288e-06, 0.0029255966655910015]"
4,22,False,True,True,32,16,0.2,"[0.0016449288232252002, 0.04072855785489082]","[1.284380596189294e-05, 0.0035711461678147316]"
5,3,False,False,False,32,8,0.2,"[0.0006765350117348135, 0.026118332520127296]","[1.5538233128609136e-05, 0.003931698855012655]"
6,0,False,False,False,16,8,0.2,"[0.0027285702526569366, 0.05245136842131615]","[3.5135733924107626e-05, 0.0059813521802425385]"
7,5,False,False,False,32,32,0.2,"[0.0004827653174288571, 0.02205798402428627]","[3.669701982289553e-05, 0.006056278012692928]"
8,16,False,True,False,32,16,0.2,"[0.0014679374871775508, 0.03847014904022217]","[3.8308531657094136e-05, 0.006201489828526974]"
9,23,False,True,True,32,32,0.2,"[0.0010823431657627225, 0.03302910923957825]","[5.711819903808646e-05, 0.007576356176286936]"
10,2,False,False,False,16,32,0.2,"[0.0008511206833645701, 0.029286738485097885]","[9.793337812880054e-05, 0.009879599325358868]"
11,14,False,True,False,16,32,0.2,"[0.0008064061403274536, 0.028505826368927956]","[9.870092617347836e-05, 0.009925237856805325]"
12,4,False,False,False,32,16,0.2,"[0.0005707878735847771, 0.023970678448677063]","[0.0001269269414478913, 0.011264177970588207]"
13,21,False,True,True,32,8,0.2,"[0.0012206312967464328, 0.03507278859615326]","[0.00013323858729563653, 0.011525919660925865]"
14,19,False,True,True,16,16,0.2,"[0.0016358076827600598, 0.040599893778562546]","[0.00013781190500594676, 0.011769706383347511]"
15,40,True,True,False,32,16,0.2,"[0.0009602620848454535, 0.0310999546200037]","[0.00014175720571074635, 0.011917909607291222]"
16,9,False,False,True,32,8,0.2,"[0.0012191834393888712, 0.035046953707933426]","[0.00014966705930419266, 0.012246549129486084]"
17,28,True,False,False,32,16,0.2,"[0.0015276524936780334, 0.039232637733221054]","[0.00015574671851936728, 0.012506344355642796]"
18,10,False,False,True,32,16,0.2,"[0.00099389988463372, 0.03163766860961914]","[0.00016765172767918557, 0.01296177413314581]"
19,12,False,True,False,16,8,0.2,"[0.0008248709491454065, 0.028818504884839058]","[0.0001788322115316987, 0.01337137259542942]"
20,6,False,False,True,16,8,0.2,"[0.0005967278848402202, 0.024489080533385277]","[0.00024366336583625525, 0.01560935378074646]"
21,43,True,True,True,16,16,0.2,"[0.0012465243926271796, 0.03543330729007721]","[0.0002672540722414851, 0.016326937824487686]"
22,18,False,True,True,16,8,0.2,"[0.0031849248334765434, 0.05664460361003876]","[0.00029750433168374, 0.017291370779275894]"
23,29,True,False,False,32,32,0.2,"[0.0008029363234527409, 0.028409171849489212]","[0.0003285848943050951, 0.018122918903827667]"
24,13,False,True,False,16,16,0.2,"[0.0008569350466132164, 0.029354212805628777]","[0.0003534796123858541, 0.018786203116178513]"
25,17,False,True,False,32,32,0.2,"[0.0009965882636606693, 0.03165365383028984]","[0.0003899004659615457, 0.01973705366253853]"
26,47,True,True,True,32,32,0.2,"[0.000987704610452056, 0.0315120592713356]","[0.00040654782787896693, 0.020148811861872673]"
27,45,True,True,True,32,8,0.2,"[0.0006871274090372026, 0.026265257969498634]","[0.0004107976274099201, 0.0202583447098732]"
28,15,False,True,False,32,8,0.2,"[0.001384839997626841, 0.03732466697692871]","[0.0004233292711433023, 0.020561326295137405]"
29,46,True,True,True,32,16,0.2,"[0.0012990764807909727, 0.036154855042696]","[0.00043440083391033113, 0.020819898694753647]"
30,1,False,False,False,16,16,0.2,"[0.0007736773113720119, 0.027867455035448074]","[0.0005036661750636995, 0.022424345836043358]"
31,7,False,False,True,16,16,0.2,"[0.000776884553488344, 0.027917955070734024]","[0.0005331222782842815, 0.023079095408320427]"
32,8,False,False,True,16,32,0.2,"[0.00168970029335469, 0.041215281933546066]","[0.000588156923186034, 0.02428051270544529]"
33,37,True,True,False,16,16,0.2,"[0.0011631398228928447, 0.03418881446123123]","[0.0006349492468871176, 0.02517271228134632]"
34,26,True,False,False,16,32,0.2,"[0.001008861348964274, 0.03181585669517517]","[0.0007492921431548893, 0.02735338918864727]"
35,25,True,False,False,16,16,0.2,"[0.0009183243382722139, 0.030332669615745544]","[0.0007893246365711093, 0.028093775734305382]"
36,24,True,False,False,16,8,0.2,"[0.0011703991331160069, 0.034270815551280975]","[0.0008288130047731102, 0.02877139486372471]"
37,39,True,True,False,32,8,0.2,"[0.0012827047612518072, 0.03585558757185936]","[0.001035572262480855, 0.03216159716248512]"
38,38,True,True,False,16,32,0.2,"[0.0012372396886348724, 0.03522432595491409]","[0.0010359907755628228, 0.0321584977209568]"
39,42,True,True,True,16,8,0.2,"[0.0015283109387382865, 0.03916400671005249]","[0.001082789502106607, 0.03287524729967117]"
40,41,True,True,False,32,32,0.2,"[0.0014730279799550772, 0.03842509537935257]","[0.0010985344415530562, 0.03313785791397095]"
41,20,False,True,True,16,32,0.2,"[0.0012465579202398658, 0.03533325344324112]","[0.001176623278297484, 0.03428928926587105]"
42,31,True,False,True,16,16,0.2,"[0.001502134371548891, 0.038810454308986664]","[0.0012405606685206294, 0.03518462926149368]"
43,32,True,False,True,16,32,0.2,"[0.0012289963196963072, 0.035058192908763885]","[0.0013214669888839126, 0.03635120764374733]"
44,36,True,True,False,16,8,0.2,"[0.0014935885556042194, 0.03867044299840927]","[0.0015052873641252518, 0.038762837648391724]"
45,30,True,False,True,16,8,0.2,"[0.001195003860630095, 0.03448626026511192]","[0.0019923788495361805, 0.04463263601064682]"
46,33,True,False,True,32,8,0.2,"[0.0029087993316352367, 0.05400223284959793]","[0.0020138719119131565, 0.04488439857959747]"
47,44,True,True,True,16,32,0.2,"[0.0015106647042557597, 0.03869975358247757]","[0.0035427450202405453, 0.059484679251909256]"
